name,artists,year,country,label,have,total.want,total.averageValue,format,price,info3,info2,info4,info5,info6,info
"
                
                                            
        
            Fort Romeau
                
                ‎–
                
                                            Secrets & Lies
                                    
            ",Fort Romeau,2016,Germany,Live At Robert Johnson,296,349,4.87,"(3xFile, MP3, 320)",$26.50,Live At Robert Johnson,"
                Germany
            ","
                15 Jan 2016
            ",Electronic,House,Vinyl
"
                
                                            
        
            Red Hot Chili Peppers
                
                ‎–
                
                                            Stadium Arcadium
                                    
            ",Red Hot Chili Peppers,2006,US,"Warner Bros. Records, Warner Bros. Records",931,351,4.69,"(2xCD, Album, Dig)",$34.95,Warner Bros. Records,"
                US
            ","
                23 Feb 2016
            ",Rock,Alternative Rock,Box Set
"
                
                                            
        
            Marta Acuna
                
                ‎–
                
                                            Dance, Dance, Dance
                                    
            ",Marta Acuna,1977,US,P&P Records,238,345,4.88,"(12"")",$13.99,P&P Records,"
                US
            ","
                16 Jan 2016
            ",Funk / Soul,Disco,Vinyl
"
                
                                            
        
            Michael Bundt,                     
        
            Peter Seiler
                
                ‎–
                
                                            Dreamdancer (Original Motion Picture Soundtrack), Carl Ludwig, Der Traumtänzer
                                    
            ",Michael Bundt,2016,Austria,Vinyl Of Austria Group Vienna,142,382,4.03,"(LP, Album, Ltd, Num, Pin)",$47.79,Electronic,2016,NA,NA,NA,Psychedelic
"
                
                                            
        
            Wu-Tang Clan
                
                ‎–
                
                                            Enter The Wu-Tang (36 Chambers)
                                    
            ",Wu-Tang Clan,1993,US,"RCA, Loud Records, Wu-Tang Records",925,348,4.69,"(LP, Album)",$14.89,Sony Music,"
                Europe
            ","
                Feb 2016
            ",Hip Hop,Gangsta,Vinyl
"
                
                                            
        
            Floorplan
                
                ‎–
                
                                            Music / Tell You No Lie
                                    
            ",Floorplan,2016,US,M-Plant,466,464,4.56,"(12"")",$12.66,Electronic,2016,NA,NA,NA,House
"
                
                                            
        
            YYY
                
                ‎–
                
                                            白161
                                    
            ",YYY,Unknown,France,YYY series,354,342,4.57,"(12"", Num)",$10.11,YYY series,"
                France
            ","
                2016
            ",Electronic,Minimal,Vinyl
"
                
                                            
        
            Harvey Sutherland and Bermuda*
                
                ‎–
                
                                            Priestess / Bravado
                                    
            ",Harvey Sutherland and Bermuda,NA,NA,NA,354,347,4.88,NA,$11.04,Clarity Recordings (2),"
                Australia
            ","
                04 Nov 2016
            ",Electronic,Disco,Vinyl
"
                
                                            
        
            Michael Boothman
                
                ‎–
                
                                            Touch
                                    
            ",Michael Boothman,1980,Barbados,Touch Production,236,338,4.94,"(7"")",$19.95,Invisible City Editions,"
                Canada
            ","
                Apr 2016
            ",Funk / Soul,Disco,Vinyl
"
                
                                            
        
            Justice (3)
                
                ‎–
                
                                            Woman
                                    
            ",Justice (3),2016,USA & Europe,"Because Music, Genesis (8), Ed Banger Records",857,368,4.33,"(CD, Album)",$8.51,Electronic,2016,NA,NA,NA,Synth-pop
"
                
                                            
        
            'Thesda
                
                ‎–
                
                                            Spaced Out
                                    
            ",'Thesda,1979,US,Integrated Performance Systems International Incorporated,351,340,4.79,"(LP, Album)",$15.35,Left Ear Records,"
                Australia
            ","
                17 Feb 2016
            ",Jazz,Jazz-Funk,Vinyl
"
                
                                            
        
            Don't DJ
                
                ‎–
                
                                            Authentic Exoticism
                                    
            ",Don't DJ,NA,NA,NA,145,341,4.97,NA,NA,SEXES,"
                Germany
            ","
                01 Mar 2016
            ",Electronic,Leftfield,Vinyl
"
                
                                            
        
            Mood Hut
                
                ‎–
                
                                            Snaker 007
                                    
            ",Mood Hut,NA,NA,NA,286,339,4.92,NA,$26.07,Snaker,"
                Japan
            ","
                03 Jun 2016
            ",Electronic,Deep House,Vinyl
"
                
                                            
        
            Chance The Rapper
                
                ‎–
                
                                            Coloring Book
                                    
            ",Chance The Rapper,2016,US,Not On Label,290,461,4.46,"(14xFile, MP3, 320)",$40.43,Hip Hop,2016,NA,NA,NA,NA
"
                
                                            
        
            Ghost (32)
                
                ‎–
                
                                            Popestar
                                    
            ",Ghost (32),2016,Sweden,"Reaktor Recordings, BMG Rights Management (US) LLC, BMG Gold Songs",2030,348,4.3,"(12"", EP, Ltd)",$9.95,Rock,2016,Black Vinyl,NA,NA,Pop Rock
"
                
                                            
        
            Moomin (3)
                
                ‎–
                
                                            A Minor Thought
                                    
            ",Moomin (3),2016,Germany,Smallville Records,427,337,4.52,"(CD, Album)",$17.03,Smallville Records,"
                Germany
            ","
                Jan 2016
            ",Electronic,Deep House,Vinyl
"
                
                                            
        
            Teenage Mutant Ninja Turtles (3)
                
                ‎–
                
                                            Let's Kick Shell
                                    
            ",Teenage Mutant Ninja Turtles (3),2016,US,Enjoy The Toons Records,320,470,4.08,"(7"", Ltd, Gre)",$25.00,Children's,2016,NA,NA,NA,Theme
